sentence_id	switched	subject_idx	subject	object_idx	object	verb	sentence
answers-20111107092617AAgKm4X_ans-0010	yes	2	military	7	Johnson	let	However , military would not let the Johnson cross the borders and clean out the Communist bases .
answers-20111107092617AAgKm4X_ans-0007	yes	1	problem	7	ARVN	having	The problem was not having a big ARVN with the Local VC ( the guerilla movement ) , they were being challenged by the Main Force VC ( which was light infantry ) and the North Vietnamese Army ( NVA ) .
answers-20111108110329AAxl1pb_ans-0019	yes	8	cheek	12	kitten	rub	this will do two things ; the new cheek will rub her kitten on the furniture in her room , making it her territory .
answers-20111108110329AAxl1pb_ans-0015	yes	4	intruder	9	male	fighting	right now , your intruder is fighting off an male , and he feels that all of the house is his .
answers-20111108105629AAiZUDY_ans-0037	yes	17	beginning	23	loss	signals	If the snake is not pregnant or shedding , and its enclosure is properly equipped , a beginning of appetite probably signals a loss of hibernation .
answers-20111108082831AAco5PI_ans-0028	yes	0	answer	5	Christiane	gave	answer gave you a good Christiane .
answers-20111108105749AABv7vx_ans-0006	yes	8	territory	12	cat	losing	you are not just moving house - your territory is losing his cat .
answers-20111107155912AAS93e5_ans-0025	yes	4	variety	9	menu	had	We felt that the variety had a little more menu on the Mariner of the Seas .
answers-20111107155912AAS93e5_ans-0016	yes	1	island	6	Liberty	visited	The island also visited its private Liberty Half Moon Cay , Puerto Rico , and Grand Turk .
answers-20111108092321AAK0Eqp_ans-0029	yes	2	website	5	government	has	Each provincial website has a government that lists the process for that Province so depending upon where you were born you can google it .
answers-20111108092321AAK0Eqp_ans-0027	yes	13	hospital	17	baby	leave	When a child is born in Canada the birth is registered before the hospital can leave the baby .
answers-20111108100419AAKZvMH_ans-0018	yes	12	hold	17	snake	get	And also maybe try holding the rat in feeding prongs so your hold can get a good snake and grip on his prey .
answers-20111108104206AAygiaE_ans-0011	yes	9	cafe	16	town	provide	I think it s only fair that nowadays every cafe should provide at least one halal town or restaurant and hopefully one day every British catering establishment will be halal .
answers-20111108104206AAygiaE_ans-0010	yes	15	food	19	place	provide	It s not fair if some people have to go without buying food because no food will provide suitable place for them .
answers-20111108101850AAhNuvz_ans-0011	yes	18	rabbits	21	Roosters	attack	Yes , but be sure that your chickens are all hens ( I mean not roosters ) , rabbits may attack Roosters or anything they see moving , so be aware of that , hens are friendly with almost all kinds of pets !
answers-20111104175256AAL21Ha_ans-0007	yes	46	pictures	48	photographers	took	So , the Bay Area has been fairly mixed ethnically for a long time -- caucasians may have seemed to be a large populous but that 's because most tourists back then were caucasian and many of the hippies were caucasians so that 's who the pictures took photographers of .
answers-20111108102810AAfCh1W_ans-0009	yes	8	pets	11	movies	affect	Although , I do n't think that scary pets will affect movies for a long time ; I am sure they 'll forget sometime -- or am I wrong ?
answers-20111108102810AAfCh1W_ans-0006	yes	3	images	5	animals	remember	Also , can images remember animals on TV like us , humans ?
answers-20111108102810AAfCh1W_ans-0005	yes	19	images	23	dogs	see	As far as I understand , this ad will get dogs excited , but my question is : Can images actually see the dogs featured in the advert like humans ?
answers-20111108102810AAfCh1W_ans-0002	yes	1	images	3	animals	see	Do images see animals on a TV screen like humans do ?
answers-20111108102810AAfCh1W_ans-0001	yes	1	images	3	animals	see	Do images see animals on a TV screen like humans do ?
answers-20111108092029AAsHTYP_ans-0025	yes	0	mothers	3	Hens	make	mothers make excellent Hens as they are bigger , can see better , and are smarter the Silkies .
answers-20111108092029AAsHTYP_ans-0021	yes	3	toes	6	Silkies	have	Five Toes : toes have five Silkies .
answers-20111108092029AAsHTYP_ans-0016	yes	13	beard	17	offspring	have	Beards / Muffs : If your Silkie has a beard / muff the beard could have a offspring as well , as these genes are incomplete dominate .
answers-20111108092029AAsHTYP_ans-0013	yes	0	Skin	3	Sussex	have	Skin have White Sussex which could be recessive or dominate .
answers-20111108092029AAsHTYP_ans-0010	yes	0	feathers	3	Sussexs	have	feathers have soft Sussexs .
answers-20111108092029AAsHTYP_ans-0009	yes	0	feathers	3	Silkies	have	feathers have hookless Silkies .
answers-20111108073322AA27tkh_ans-0006	yes	1	rebirth	10	word	means	The rebirth renaissance ( Rinascimento in Italian ) means “ word ” , and the era is best known for the renewed interest in the culture of classical antiquity after the period that Renaissance humanists labelled the Dark Ages .
answers-20111108105029AARU1Lf_ans-0016	yes	4	kidney	9	cat	have	Given the chance your kidney may only have one cat , I would think the worst case scenario would be kidney disease , which untreated can lead to possible renal failure .
answers-20111108105029AARU1Lf_ans-0015	yes	2	LOT	6	cat	passing	But your LOT is passing a cat of urine , and this is bad .
answers-20111108105029AARU1Lf_ans-0003	yes	5	time	9	vet	had	When she was spayed the time had a hard vet because she only has one uterine horn and he said this could mean she only has on kidney .
answers-20111108084416AAoPgBv_ans-0016	yes	7	Parisians	11	Parisians	like	Nobody likes the Parisians , even then Parisians do n't like Parisians .
answers-20111108084416AAoPgBv_ans-0012	yes	0	Americans	2	Parisians	dislike	Americans dislike Parisians for their lack of speaking French and proper French manners .
answers-20090605110235AAALlCt_ans-0009	yes	1	airports	3	towns	have	Both airports have towns that are served regularly from the larger cities such as Sao Paulo , Rio de Janeiro and Buenos Aires .
answers-20090605110235AAALlCt_ans-0004	yes	24	mist	30	volume	sends	The centre of the falls is known locally as ‘ Garganta Del Diablo ’ ( The Devil ’s Throat ) , where the huge mist of water sends a constant volume of spray into the air .
answers-20111108094927AA5NjHj_ans-0011	yes	2	horse	8	horse	mean	A taller horse does n't always mean a horse you ca n't handle .
answers-20111108094504AAKrc8F_ans-0017	yes	0	hazards	5	Loads	have	hazards of places have geographical Loads , if you are constantly paranoid , you 'll never get anywhere without a sense of adventure .
answers-20111106144630AAadR8l_ans-0017	yes	1	burst	4	one	uses	No burst uses 3 one .
answers-20111106144630AAadR8l_ans-0008	yes	5	coating	14	receiver	get	He also ordered that the coating not get a ( I think chrome ) receiver that helped keep the gun from jamming .
answers-20111106144630AAadR8l_ans-0007	yes	8	type	29	ammunition	use	To save money Robert McNamara ordered that the type for the new M - 16s being sent to SEA in the early 60s use an older ( dirtier ) ammunition of gunpowder meant for use with the M - 14 .
answers-20111107193815AAhaJjy_ans-0009	yes	0	aspect	5	SOLAS	covers	aspect covers just about every SOLAS of safety at sea , including minimum safety equipment , practices , and standards , lifeboats , navigation practices , fire protection , and so on .
answers-20111107193815AAhaJjy_ans-0002	yes	16	lifeboats	20	ships	carry	After the sinking of the Titanic in 1912 , was there a law made so that lifeboats would carry enough ships to save everybody on a ship if it was sinking ?
answers-20111106215236AAycANO_ans-0003	yes	12	shower	18	cousin	Having	I was gon na have a dinner party that night but my shower is having Having her bridal cousin so brunch is it but the only places I know are denny 's and ihop .
answers-20111108065707AAj7DaH_ans-0003	yes	1	stables	3	breyers	need	My stables need breyers or barns though ..... and I need directions and materials on how to make them .
answers-20111108071852AAxbh5F_ans-0017	yes	23	cages	28	birds	like	the bird must know that when you open the cage door it means that you will put him in the cage , and cages do n't usually like birds .
answers-20111108105919AAHXkZF_ans-0009	yes	5	life	10	cat	had	At 18 years , your life has had a long cat .
answers-20111108105919AAHXkZF_ans-0004	yes	15	lifespans	19	sources	give	I did an internet search to ascertain how long cats can live , however different lifespans give wildly different sources .
answers-20111108105919AAHXkZF_ans-0002	yes	1	seizure	4	cat	had	My seizure had a cat yesterday and was ill .
answers-20111108084355AAvLpRa_ans-0007	yes	0	console	6	Microsoft	announced	console has not announced there new Microsoft yet though it is believed to be in the works .
answers-20111108103211AA4XhnU_ans-0007	yes	6	fins	14	ones	tear	Add only silk plants as plastic fins may tear up ur betta s delicate ones .
answers-20111108082304AAEbrNs_ans-0004	yes	2	difference	6	Tablet	have	Does the difference have a major Tablet in speed compared to the Color ?
answers-20111108105400AASqPIh_ans-0012	yes	8	problems	12	hospitals	have	Bumrungrad Hospital does some good work but all problems do have their hospitals from time to time .
answers-20111108105400AASqPIh_ans-0003	yes	2	decision	6	fool	base	Only a decision would base a fool using the cheapest surgeon to perform an operation .
answers-20111108103930AA7FPhc_ans-0008	yes	12	water	15	cage	collect	When you take a warm shower and build up steam , his water will collect cage , the bedding will absorb much of it , and will not be able to absorb the urine quite as it should .
answers-20111108072912AAccket_ans-0012	yes	22	ticket	26	TC	cancel	well if your desired boarding station comes after more than 2 or 3 halts of the actual boarding point , then the ticket will cancel you TC and allot the seat to others .
answers-20111108072912AAccket_ans-0004	yes	2	Asansol	4	train	pass	Does your Asansol pass train when starting from Howrah ?
answers-20111108093211AA8bYFE_ans-0001	yes	1	Noise	5	Hamster	Making	Dwarf Noise Making Too Much Hamster On Wheel at Night ?
answers-20111108110437AA5JNkr_ans-0004	yes	19	slots	24	ones	have	It is not as precise as a pelham bit because it only uses one rein , though the modern slots have two or three ones on which to put the reins .
answers-20111019100027AAdxgXV_ans-0015	yes	4	thing	7	website	shows	scroll down and this thing shows each website you can buy (:
answers-20111019100027AAdxgXV_ans-0008	yes	2	PIECES	6	Fries	give	Because Large PIECES give you FOUR Fries !
answers-20111108083309AAg9jwT_ans-0012	yes	18	pixels	25	sensors	have	There should be a Pixel Mapping function in the menu that will get rid of them , most pixels have a few dead and flipped sensors , some only show up on long exposures .
answers-20111108105559AAkQd38_ans-0008	yes	1	farms	4	people	abandoned	The farms abandoned their people and religious sites and the ground they stood on became moorland .
answers-20111108105559AAkQd38_ans-0007	yes	50	goodness	54	rain	wash	They can be bleak and eerie , often very exposed , often covered with antiquities like bronze age burial mounds , stone circles and settlements -- until late in the bronze age they were rich farmlands , then a change in the climate caused the skies to cloud over and goodness to wash the rain from the soil .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0206	yes	8	correction	11	Economist	printed	17 - On 17 November 2001 , The correction printed a Economist for having said George Bush was properly elected in 2000 .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0193	yes	10	job	14	Bush	handling	49 - Percentage of Americans who approved of the way job was handling his Bush as president in May 2004 .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0192	yes	10	job	14	Bush	handling	50 - Percentage of Americans who approved of the way job was handling his Bush as president on 15 October 2003 .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0191	yes	10	job	14	Bush	handling	54 - Percentage of Americans who approved of the way job was handling his Bush as president on 30 September , 2003 .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0190	yes	10	job	14	Bush	handling	67 - Percentage of Americans who approved of the way job was handling his Bush as president on 26 September 2002 .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0189	yes	10	job	14	Bush	handling	90 - Percentage of Americans who approved of the way job was handling his Bush as president on 26 September 2001 .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0147	yes	18	office	20	Bush	took	49 - Percentage of Americans in April 2004 who found that their taxes had actually gone up since office took Bush .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0142	yes	15	office	17	Bush	took	$ 5.6 t - Projected national surplus forecast by the end of the decade when office took Bush in 2001 .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0137	yes	0	numbers	3	Pioneers	assigned	numbers were assigned Pioneers , which were included on all cheques , enabling the campaign to keep track of who raised how much . )
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0049	yes	5	Saddam	7	Bush	mentioned	83 - Number of times Saddam mentioned Bush , Iraq , or regime ( as in change ) in his three State of the Union addresses .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0048	yes	6	terrorism	8	Bush	mentioned	73 - Number of times that terrorism mentioned Bush or terrorists in his three State of the Union addresses .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0023	yes	6	life	10	EPA	valued	$ 3.7 m - Amount the life valued each human EPA when conducting analyses of proposed regulations during the Bush administration .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0022	yes	6	life	11	EPA	valued	$ 6.1 m - Amount the life historically valued each human EPA when conducting economic analyses of proposed regulations .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0021	yes	11	office	13	Bush	took	50 - Percentage decline in civil penalties for environmental crimes since office took Bush .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0020	yes	11	office	13	Bush	took	34 - Percentage decline in criminal penalties for environmental crimes since office took Bush .
newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0005	yes	5	warming	8	Bush	mentioned	0 - Number of times warming mentioned global Bush , clean air , clean water , pollution or environment in his 2004 State of the Union speech .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0133	yes	5	part	9	logic	plays	Logic says no , but part seldom plays any logic in modern American politics .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0128	yes	1	cover	7	invasion	provided	The cover of Iraq provided marvelous political invasion for the GOP not only during those midterms , but during the 2004 Presidential election .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0122	yes	1	course	9	manner	undertake	What course of maniac would undertake such a dangerous manner ?
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0118	yes	3	Russia	11	attack	bring	Therefore , any Russia upon Iran 's nuclear facilities will bring attack into the mess .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0117	yes	9	capability	15	Iran	developing	Recently , Russian president Vladimir Putin bluntly stated that capability is not developing its nuclear Iran for any reasons beyond peaceful energy creation , and pledged to continue assisting Iran in this endeavor .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0114	yes	11	path	17	manner	undertake	The question must be put as directly as possible : what path of maniac would undertake a manner so fraught with peril and potential economic catastrophe ?
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0111	yes	2	resupply	8	position	make	Iran 's resupply over the Gulf would make position by ship and air support from carriers a dangerous affair .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0102	yes	3	damage	7	occupation	done	Worse , the damage has done great occupation to the strength of the American military , justifying the decrease in confidence .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0100	yes	2	perception	10	victory	cemented	The rapid perception during the first Gulf War cemented this victory .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0099	yes	12	foe	18	military	overwhelm	American citizens have for decades taken it as a given that our foe can overwhelm and overcome any military on the battlefield .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0095	yes	3	economy	7	China	has	In short , economy has the American China by the throat .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0094	yes	16	times	21	consumers	experience	"If this coincides with rising interest rates and a setback in the housing market , American times will experience the hardest consumers since the Great Depression . """
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0091	yes	15	currency	19	China	revalue	""" The hardest blow on Americans , "" concluded Roberts , "" will fall when currency does revalue its China ."
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0082	yes	3	portion	7	China	holds	More significantly , portion holds a large China of the American economy in the palm of its hand .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0081	yes	11	confrontation	15	China	force	This threat exists not merely on a military level , though confrontation could force a China in the Pacific by way of Taiwan .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0077	yes	0	construction	4	China	seeking	construction is seeking the China of a pipeline from Iran to the Caspian Sea , where it would link with another planned pipeline running from Kazakhstan to China .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0073	yes	21	Iran	23	US	attacks	While the ominous possibilities of heightened Iraqi chaos , missiles in the Gulf , and Syrian involvement loom large if the Iran attacks US , all pale in comparison to the involvement of China in any US / Iran engagement .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0056	yes	3	attack	8	US	facing	Currently , the attack is facing an asymmetrical US from groups wielding small arms , shoulder - fired grenades and roadside bombs .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0055	yes	8	muscle	12	Iran	throwing	Beyond the naval threat is the possibility of muscle throwing its military Iran into the ongoing struggle in Iraq .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0044	yes	1	Mach	4	Sunburn	reach	The Mach can reach Sunburn 3 at high altitude .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0040	yes	3	ground	7	Iran	holds	In essence , ground holds the high Iran in the Gulf .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0039	yes	1	exit	6	Gulf	has	The exit itself only has one Gulf , the Strait of Hormuz , which is also dominated by the mountainous Iranian coastline .
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0036	yes	7	modernization	10	Iran	funded	"The CSIS report cites numerous areas where modernization has funded Iran including the most troublesome aspect , anti-shipping cruise missiles : ' Iran has obtained new anti-ship missiles and missile patrol craft from China , midget submarines from North Korea , submarines from Russia , and modern mines . ' """
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0024	yes	35	strength	39	nation	enjoys	While Iran 's conventional army is not what it was during the heyday of the Iran - Iraq war - their armaments have deteriorated and the veterans of that last war have retired - the strength enjoys substantial military nation nonetheless .
